customer_state,orders,customers,items_gmv,freight_total,payment_value_total,avg_order_gmv,avg_freight,delayed_orders,delivered_orders,orders_pct,gmv_pct,delay_pct_among_delivered
SP,41746,40302,5202955.05,718723.07,5998226.96,125.75,17.37,1820,40495,41.98,38.28,4.49
RJ,12852,12384,1824092.67,305589.31,2144379.69,142.93,23.95,1495,12353,12.92,13.42,12.1
MG,11635,11259,1585308.03,270853.46,1872257.26,137.33,23.46,520,11355,11.7,11.66,4.58
RS,5466,5277,750304.02,135522.74,890898.54,138.13,24.95,325,5344,5.5,5.52,6.08
PR,5045,4882,683083.76,117851.68,811156.38,136.67,23.58,199,4923,5.07,5.03,4.04
SC,3637,3534,520553.34,89660.26,623086.43,144.12,24.82,291,3547,3.66,3.83,8.2
BA,3380,3277,511349.99,100156.68,616645.82,152.28,29.83,396,3256,3.4,3.76,12.16
DF,2140,2075,302603.94,50625.5,355141.08,142.4,23.82,118,2080,2.15,2.23,5.67
ES,2033,1964,275037.31,49764.6,325967.55,135.82,24.58,214,1995,2.04,2.02,10.73
GO,2020,1952,294591.95,53114.98,350092.31,146.78,26.46,128,1957,2.03,2.17,6.54
PE,1652,1609,262788.03,59449.659999999996,324850.44,159.46,36.07,153,1593,1.66,1.93,9.6
CE,1336,1313,227254.71,48351.59,279464.03,171.25,36.44,176,1279,1.34,1.67,13.76
PA,975,949,178947.81,38699.3,218295.85,184.48,39.9,106,946,0.98,1.32,11.21
MT,907,876,156453.53,29715.43,187029.29,173.26,32.91,53,886,0.91,1.15,5.98
MA,747,726,119648.22,31523.77,152523.02,161.69,42.6,125,717,0.75,0.88,17.43
MS,715,694,116812.64,19144.03,137534.84,164.76,27.0,68,701,0.72,0.86,9.7
PB,536,519,115268.08,25719.73,141545.72,216.67,48.35,54,517,0.54,0.85,10.44
PI,495,482,86914.08,21218.2,108523.97,176.3,43.04,66,476,0.5,0.64,13.87
RN,485,474,83034.98,18860.1,102718.13,172.27,39.13,44,474,0.49,0.61,9.28
AL,413,401,80314.81,15914.59,96962.06,195.41,38.72,85,397,0.42,0.59,21.41
SE,350,342,58920.85,14111.47,75246.25,170.79,40.9,51,335,0.35,0.43,15.22
TO,280,273,49621.74,11732.68,61485.33,177.86,42.05,27,274,0.28,0.37,9.85
RO,253,240,46140.64,11417.38,60866.2,186.8,46.22,7,243,0.25,0.34,2.88
AM,148,143,22356.84,5478.89,27966.93,152.09,37.27,4,145,0.15,0.16,2.76
AC,81,77,15982.95,3686.75,19680.62,197.32,45.52,3,80,0.08,0.12,3.75
AP,68,67,13474.3,2788.5,16262.8,198.15,41.01,2,67,0.07,0.1,2.99
RR,46,45,7829.43,2235.19,10064.62,170.2,48.59,5,41,0.05,0.06,12.2
