dataset,column_name,dtype,unique_values,unique_pct,total_rows
customers,customer_id,str,99441,100.0,99441
orders,order_id,str,99441,100.0,99441
orders,customer_id,str,99441,100.0,99441
products,product_id,str,32951,100.0,32951
sellers,seller_id,str,3095,100.0,3095
category_translation,product_category_name,str,71,100.0,71
category_translation,product_category_name_english,str,71,100.0,71
order_reviews,order_id,str,98673,99.44,99224
orders,order_purchase_timestamp,str,98875,99.43,99441
order_reviews,review_id,str,98410,99.18,99224
order_reviews,review_answer_timestamp,str,98248,99.02,99224
customers,customer_unique_id,str,96096,96.64,99441
orders,order_delivered_customer_date,str,95664,96.2,99441
order_payments,order_id,str,99440,95.72,103886
orders,order_approved_at,str,90733,91.24,99441
order_items,order_id,str,98666,87.59,112650
order_items,shipping_limit_date,str,93318,82.84,112650
orders,order_delivered_carrier_date,str,81018,81.47,99441
