dataset,rows,columns,memory_mb,column_names
customers,99441,5,26.59,"customer_id, customer_unique_id, customer_zip_code_prefix, customer_city, customer_state"
geolocation,1000163,5,129.38,"geolocation_zip_code_prefix, geolocation_lat, geolocation_lng, geolocation_city, geolocation_state"
order_items,112650,7,35.99,"order_id, order_item_id, product_id, seller_id, shipping_limit_date, price, freight_value"
order_payments,103886,5,16.23,"order_id, payment_sequential, payment_type, payment_installments, payment_value"
order_reviews,99224,7,39.12,"review_id, order_id, review_score, review_comment_title, review_comment_message, review_creation_date, review_answer_timestamp"
orders,99441,8,52.94,"order_id, customer_id, order_status, order_purchase_timestamp, order_approved_at, order_delivered_carrier_date, order_delivered_customer_date, order_estimated_delivery_date"
products,32951,9,6.3,"product_id, product_category_name, product_name_lenght, product_description_lenght, product_photos_qty, product_weight_g, product_length_cm, product_height_cm, product_width_cm"
sellers,3095,4,0.59,"seller_id, seller_zip_code_prefix, seller_city, seller_state"
category_translation,71,2,0.01,"product_category_name, product_category_name_english"
