purchase_year_month,orders,customers,items_gmv,freight_total,payment_value_total,avg_order_gmv,avg_freight_per_order
2016-09,4,4,267.36,87.39,252.24,66.84,21.85
2016-10,324,324,49507.66,7301.18,59090.48,152.8,22.53
2016-12,1,1,10.9,8.72,19.62,10.9,8.72
2017-01,800,800,120312.87,16875.62,138488.04,150.39,21.09
2017-02,1780,1780,247303.02,38977.6,291908.01,138.93,21.9
2017-03,2682,2682,374344.3,57704.29,449863.6,139.58,21.52
2017-04,2404,2404,359927.23,52495.01,417788.03,149.72,21.84
2017-05,3700,3700,506071.14,80119.81,592918.82,136.78,21.65
2017-06,3245,3245,433038.6,69924.44,511276.38,133.45,21.55
2017-07,4026,4026,498031.48,86940.14,592382.92,123.7,21.59
2017-08,4331,4331,573971.68,94232.92,674396.32,132.53,21.76
2017-09,4285,4285,624401.6900000001,95997.22,727762.45,145.72,22.4
2017-10,4631,4631,664219.43,105092.94,779677.88,143.43,22.69
2017-11,7544,7544,1010271.37,168872.4,1194882.8,133.92,22.38
2017-12,5673,5673,743914.17,119633.06,878401.48,131.13,21.09
2018-01,7269,7269,950030.36,157271.53,1115004.18,130.7,21.64
2018-02,6728,6728,844178.71,142730.25,992463.34,125.47,21.21
2018-03,7211,7211,983213.4400000001,171913.38,1159652.12,136.35,23.84
2018-04,6939,6939,996647.75,163050.29,1160785.48,143.63,23.5
2018-05,6873,6873,996517.68,153264.14,1153982.15,144.99,22.3
2018-06,6167,6167,865124.31,157552.8,1023880.5,140.28,25.55
2018-07,6292,6292,895507.22,163220.81,1066540.75,142.32,25.94
2018-08,6512,6512,854686.33,148622.13999999998,1022425.32,131.25,22.82
2018-09,16,16,145.0,21.46,4439.54,9.06,1.34
2018-10,4,4,0.0,0.0,589.6700000000001,0.0,0.0
