avg_review_score,orders,avg_order_gmv,median_order_gmv,avg_freight,median_freight,avg_delivery_days,avg_delay_days
1.0,11316,166.97,99.0,27.75,18.45,20.88,-4.03
1.5,8,166.14,132.87,38.57,38.66,17.0,-6.0
2.0,3125,145.61,89.9,26.25,18.02,16.2,-8.64
2.5,34,107.83,74.4,25.4,18.23,18.27,-7.57
3.0,8136,127.64,82.99,23.56,17.63,13.78,-10.78
3.33,1,26.0,26.0,16.11,16.11,22.0,-14.0
3.5,25,122.31,99.9,21.34,16.3,12.91,-13.96
4.0,19018,132.48,84.0,22.37,17.19,11.84,-12.38
4.33,1,34.99,34.99,7.78,7.78,3.0,-11.0
4.5,54,98.58,61.48,23.31,17.74,12.3,-13.04
5.0,56955,134.67,84.99,21.71,16.79,10.21,-13.38
