product_category_name_english,orders,items_sold,unique_products,unique_sellers,items_gmv,freight_total,avg_item_price,median_item_price,avg_freight,commercial_total,gmv_pct
bed_bath_table,9417,11115,3029,196,1036988.68,204693.04,93.3,79.05,18.42,1241681.72,7.63
health_beauty,8836,9670,2444,492,1258681.34,182566.73,130.16,79.9,18.88,1441248.07,9.26
sports_leisure,7720,8641,2867,481,988048.97,168607.51,114.34,78.0,19.51,1156656.48,7.27
furniture_decor,6449,8334,2657,370,729762.49,172749.3,87.56,65.49,20.73,902511.79,5.37
computers_accessories,6689,7827,1639,287,911954.32,147318.08,116.51,81.99,18.82,1059272.4,6.71
housewares,5884,6964,2335,468,632248.66,146149.11,90.79,59.8,20.99,778397.77,4.65
watches_gifts,5624,5991,1329,101,1205005.68,100535.93,201.14,129.0,16.78,1305541.6099999999,8.87
telephony,4199,4545,1134,149,323667.52999999997,71215.79,71.21,29.99,15.67,394883.31999999995,2.38
garden_tools,3518,4347,753,237,485256.46,98962.75,111.63,59.9,22.77,584219.21,3.57
auto,3897,4235,1900,383,592720.11,92664.21,139.96,84.9,21.88,685384.32,4.36
toys,3886,4117,1411,252,483946.6,77425.95,117.55,79.9,18.81,561372.5499999999,3.56
cool_stuff,3632,3796,789,267,635290.85,84039.1,167.36,129.99,22.14,719329.95,4.67
perfumery,3162,3419,868,175,399124.87,54213.84,116.74,84.99,15.86,453338.70999999996,2.94
baby,2885,3065,919,244,411764.89,68353.11,134.34,77.98,22.3,480118.0,3.03
electronics,2550,2767,517,149,160246.74,46578.32,57.91,21.9,16.83,206825.06,1.18
