customer_state,customer_city,orders,customers,items_gmv,freight_total,avg_order_gmv,avg_freight
SP,sao paulo,15540,14984,1914924.54,255302.58,124.33,16.58
RJ,rio de janeiro,6882,6620,992538.86,161695.16,145.24,23.66
MG,belo horizonte,2773,2672,355611.13,61122.26,129.31,22.23
DF,brasilia,2131,2069,301920.25,50384.89,142.68,23.81
PR,curitiba,1521,1465,211738.06,33001.81,140.22,21.86
SP,campinas,1444,1398,187844.53,24697.17,131.45,17.28
RS,porto alegre,1379,1326,190562.08,33502.01,138.89,24.42
BA,salvador,1245,1209,181104.42,35667.98,146.29,28.81
SP,guarulhos,1189,1153,144268.39,19307.43,122.47,16.39
SP,sao bernardo do campo,938,908,104540.99,14483.86,112.65,15.61
RJ,niteroi,849,811,117907.12,20012.26,139.54,23.68
SP,santo andre,796,768,92028.6,12602.02,116.2,15.91
SP,osasco,746,717,82157.86,11842.86,110.72,15.96
SP,santos,713,692,98777.09,12893.12,139.91,18.26
GO,goiania,692,671,106111.17,17949.36,154.46,26.13
SP,sao jose dos campos,691,666,78650.94,11336.37,114.65,16.53
CE,fortaleza,654,643,97868.06,20778.01,150.57,31.97
SP,sorocaba,633,610,76551.76,10597.08,122.68,16.98
PE,recife,613,590,89803.01,20220.51,146.74,33.04
SC,florianopolis,570,546,85925.99,13999.38,152.08,24.78
